"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1989-01","Jan-1989","PC","Percentage","0","Units",,,4.8,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1989-02","Feb-1989","PC","Percentage","0","Units",,,4.894,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1989-03","Mar-1989","PC","Percentage","0","Units",,,5.147,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1989-04","Apr-1989","PC","Percentage","0","Units",,,5.221,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1989-05","May-1989","PC","Percentage","0","Units",,,5.174,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1989-06","Jun-1989","PC","Percentage","0","Units",,,5.225,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1989-07","Jul-1989","PC","Percentage","0","Units",,,5.04,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1989-08","Aug-1989","PC","Percentage","0","Units",,,4.883,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1989-09","Sep-1989","PC","Percentage","0","Units",,,5.096,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1989-10","Oct-1989","PC","Percentage","0","Units",,,5.156,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1989-11","Nov-1989","PC","Percentage","0","Units",,,5.371,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1989-12","Dec-1989","PC","Percentage","0","Units",,,5.52,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1990-01","Jan-1990","PC","Percentage","0","Units",,,6.449,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1990-02","Feb-1990","PC","Percentage","0","Units",,,6.778,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1990-03","Mar-1990","PC","Percentage","0","Units",,,6.899,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1990-04","Apr-1990","PC","Percentage","0","Units",,,6.906,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1990-05","May-1990","PC","Percentage","0","Units",,,6.508,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1990-06","Jun-1990","PC","Percentage","0","Units",,,6.421,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1990-07","Jul-1990","PC","Percentage","0","Units",,,6.772,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1990-08","Aug-1990","PC","Percentage","0","Units",,,7.62,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1990-09","Sep-1990","PC","Percentage","0","Units",,,8.032,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1990-10","Oct-1990","PC","Percentage","0","Units",,,7.6,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1990-11","Nov-1990","PC","Percentage","0","Units",,,7.08,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1990-12","Dec-1990","PC","Percentage","0","Units",,,6.454,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1991-01","Jan-1991","PC","Percentage","0","Units",,,6.432,,
