"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1980-01","Jan-1980","PC","Percentage","0","Units",,,0.720288115246079,,
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1980-02","Feb-1980","PC","Percentage","0","Units",,,3.69487485101312,,
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1980-03","Mar-1980","PC","Percentage","0","Units",,,-2.64367816091953,,
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1980-04","Apr-1980","PC","Percentage","0","Units",,,1.77095631641085,,
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1980-05","May-1980","PC","Percentage","0","Units",,,-0.696055684454753,,
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1980-06","Jun-1980","PC","Percentage","0","Units",,,-1.05140186915887,,
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1980-07","Jul-1980","PC","Percentage","0","Units",,,-0.118063754427385,,
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1980-08","Aug-1980","PC","Percentage","0","Units",,,-2.95508274231681,,
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1980-09","Sep-1980","PC","Percentage","0","Units",,,1.5834348355664,,
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1980-10","Oct-1980","PC","Percentage","0","Units",,,0.599520383693032,,
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1980-11","Nov-1980","PC","Percentage","0","Units",,,-1.31108462455301,,
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1980-12","Dec-1980","PC","Percentage","0","Units",,,1.4492753623188,,
"PRINTO01","Industrial production, s.a.","JPN","Japan","GP","Growth previous period","M","Monthly","1981-01","Jan-1981","PC","Percentage","0","Units",,,0.119047619047645,,
