"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1980-01","Jan-1980","PC","Percentage","0","Units",,,0.538351236446892,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1980-02","Feb-1980","PC","Percentage","0","Units",,,0.0450394094832995,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1980-03","Mar-1980","PC","Percentage","0","Units",,,-0.425950259629559,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1980-04","Apr-1980","PC","Percentage","0","Units",,,-1.9699941070204,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1980-05","May-1980","PC","Percentage","0","Units",,,-2.45758018325912,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1980-06","Jun-1980","PC","Percentage","0","Units",,,-1.29218023843201,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1980-07","Jul-1980","PC","Percentage","0","Units",,,-0.718109333578986,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1980-08","Aug-1980","PC","Percentage","0","Units",,,0.321032913605664,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1980-09","Sep-1980","PC","Percentage","0","Units",,,1.66949608882056,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1980-10","Oct-1980","PC","Percentage","0","Units",,,1.26749373833835,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1980-11","Nov-1980","PC","Percentage","0","Units",,,1.6696377061845,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1980-12","Dec-1980","PC","Percentage","0","Units",,,0.654413511587201,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1981-01","Jan-1981","PC","Percentage","0","Units",,,-0.622459250473996,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1981-02","Feb-1981","PC","Percentage","0","Units",,,-0.416328886079794,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1981-03","Mar-1981","PC","Percentage","0","Units",,,0.510513825266299,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1981-04","Apr-1981","PC","Percentage","0","Units",,,-0.420064245119847,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1981-05","May-1981","PC","Percentage","0","Units",,,0.568553310488805,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1981-06","Jun-1981","PC","Percentage","0","Units",,,0.52637041359633,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1981-07","Jul-1981","PC","Percentage","0","Units",,,0.641076837665947,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1981-08","Aug-1981","PC","Percentage","0","Units",,,-0.115553009217147,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1981-09","Sep-1981","PC","Percentage","0","Units",,,-0.488713281103149,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1981-10","Oct-1981","PC","Percentage","0","Units",,,-0.768411398037484,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1981-11","Nov-1981","PC","Percentage","0","Units",,,-1.16703723254988,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1981-12","Dec-1981","PC","Percentage","0","Units",,,-1.08273071317662,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1982-01","Jan-1982","PC","Percentage","0","Units",,,-2.04785007858591,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1982-02","Feb-1982","PC","Percentage","0","Units",,,2.04168622010373,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1982-03","Mar-1982","PC","Percentage","0","Units",,,-0.673170770892984,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1982-04","Apr-1982","PC","Percentage","0","Units",,,-0.913483895752049,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1982-05","May-1982","PC","Percentage","0","Units",,,-0.670921823732013,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1982-06","Jun-1982","PC","Percentage","0","Units",,,-0.257814554299242,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1982-07","Jul-1982","PC","Percentage","0","Units",,,-0.343954738028012,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1982-08","Aug-1982","PC","Percentage","0","Units",,,-0.901915640713507,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1982-09","Sep-1982","PC","Percentage","0","Units",,,-0.257979749528148,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1982-10","Oct-1982","PC","Percentage","0","Units",,,-0.962242137089189,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1982-11","Nov-1982","PC","Percentage","0","Units",,,-0.318374516526768,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1982-12","Dec-1982","PC","Percentage","0","Units",,,-0.709735083067169,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1983-01","Jan-1983","PC","Percentage","0","Units",,,1.85453405205238,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1983-02","Feb-1983","PC","Percentage","0","Units",,,-0.616346695539816,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1983-03","Mar-1983","PC","Percentage","0","Units",,,0.836164097204081,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1983-04","Apr-1983","PC","Percentage","0","Units",,,1.25283167125028,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1983-05","May-1983","PC","Percentage","0","Units",,,0.625579192216486,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1983-06","Jun-1983","PC","Percentage","0","Units",,,0.605896517633353,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1983-07","Jul-1983","PC","Percentage","0","Units",,,1.48360027400834,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1983-08","Aug-1983","PC","Percentage","0","Units",,,1.19612755211715,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1983-09","Sep-1983","PC","Percentage","0","Units",,,1.43986722967003,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1983-10","Oct-1983","PC","Percentage","0","Units",,,0.785353634193133,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1983-11","Nov-1983","PC","Percentage","0","Units",,,0.44214193202625,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1983-12","Dec-1983","PC","Percentage","0","Units",,,0.505732016161764,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1984-01","Jan-1984","PC","Percentage","0","Units",,,1.97908772307775,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1984-02","Feb-1984","PC","Percentage","0","Units",,,0.46701560805395,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1984-03","Mar-1984","PC","Percentage","0","Units",,,0.468224034123658,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1984-04","Apr-1984","PC","Percentage","0","Units",,,0.593110278522657,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1984-05","May-1984","PC","Percentage","0","Units",,,0.535927581972772,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1984-06","Jun-1984","PC","Percentage","0","Units",,,0.356427520860886,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1984-07","Jul-1984","PC","Percentage","0","Units",,,0.278200735363159,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1984-08","Aug-1984","PC","Percentage","0","Units",,,0.120445648900945,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1984-09","Sep-1984","PC","Percentage","0","Units",,,-0.279662571061818,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1984-10","Oct-1984","PC","Percentage","0","Units",,,-0.0454231989333783,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1984-11","Nov-1984","PC","Percentage","0","Units",,,0.334113421939621,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1984-12","Dec-1984","PC","Percentage","0","Units",,,0.048409811055048,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1985-01","Jan-1985","PC","Percentage","0","Units",,,-0.0487529508364936,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1985-02","Feb-1985","PC","Percentage","0","Units",,,0.307513450275234,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1985-03","Mar-1985","PC","Percentage","0","Units",,,0.13162248477658,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1985-04","Apr-1985","PC","Percentage","0","Units",,,-0.196626495465883,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1985-05","May-1985","PC","Percentage","0","Units",,,0.148171996590192,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1985-06","Jun-1985","PC","Percentage","0","Units",,,-0.0476736709822549,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1985-07","Jul-1985","PC","Percentage","0","Units",,,-0.517167966287238,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1985-08","Aug-1985","PC","Percentage","0","Units",,,0.332304029714491,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1985-09","Sep-1985","PC","Percentage","0","Units",,,0.368003808198623,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1985-10","Oct-1985","PC","Percentage","0","Units",,,-0.345859175483413,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1985-11","Nov-1985","PC","Percentage","0","Units",,,0.342666354264284,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1985-12","Dec-1985","PC","Percentage","0","Units",,,0.988733545430658,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1986-01","Jan-1986","PC","Percentage","0","Units",,,0.526557272812672,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1986-02","Feb-1986","PC","Percentage","0","Units",,,-0.684802277043925,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1986-03","Mar-1986","PC","Percentage","0","Units",,,-0.700560882938304,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1986-04","Apr-1986","PC","Percentage","0","Units",,,0.114425648837152,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1986-05","May-1986","PC","Percentage","0","Units",,,0.196376051949571,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1986-06","Jun-1986","PC","Percentage","0","Units",,,-0.393253834906047,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1986-07","Jul-1986","PC","Percentage","0","Units",,,0.61017196418476,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1986-08","Aug-1986","PC","Percentage","0","Units",,,-0.167477470292682,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1986-09","Sep-1986","PC","Percentage","0","Units",,,0.276874028671417,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1986-10","Oct-1986","PC","Percentage","0","Units",,,0.421497075049317,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1986-11","Nov-1986","PC","Percentage","0","Units",,,0.398272769068509,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1986-12","Dec-1986","PC","Percentage","0","Units",,,0.945669780588816,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1987-01","Jan-1987","PC","Percentage","0","Units",,,-0.375008894897908,,
"PRINTO01","Industrial production, s.a.","USA","United States","GP","Growth previous period","M","Monthly","1987-02","Feb-1987","PC","Percentage","0","Units",,,1.32604301336401,,
