"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1979-12","Dec-1979","NATUSD","National currency per US dollar","0","Units",,,240.694,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1980-01","Jan-1980","NATUSD","National currency per US dollar","0","Units",,,238.0026,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1980-02","Feb-1980","NATUSD","National currency per US dollar","0","Units",,,244.0632,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1980-03","Mar-1980","NATUSD","National currency per US dollar","0","Units",,,248.5963,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1980-04","Apr-1980","NATUSD","National currency per US dollar","0","Units",,,251.4357,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1980-05","May-1980","NATUSD","National currency per US dollar","0","Units",,,228.144,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1980-06","Jun-1980","NATUSD","National currency per US dollar","0","Units",,,218.0881,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1980-07","Jul-1980","NATUSD","National currency per US dollar","0","Units",,,220.4787,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1980-08","Aug-1980","NATUSD","National currency per US dollar","0","Units",,,224.3762,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1980-09","Sep-1980","NATUSD","National currency per US dollar","0","Units",,,214.945,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1980-10","Oct-1980","NATUSD","National currency per US dollar","0","Units",,,209.2689,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1980-11","Nov-1980","NATUSD","National currency per US dollar","0","Units",,,213.0583,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1980-12","Dec-1980","NATUSD","National currency per US dollar","0","Units",,,209.9,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1981-01","Jan-1981","NATUSD","National currency per US dollar","0","Units",,,202.2038,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1981-02","Feb-1981","NATUSD","National currency per US dollar","0","Units",,,205.7579,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1981-03","Mar-1981","NATUSD","National currency per US dollar","0","Units",,,209.0079,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1981-04","Apr-1981","NATUSD","National currency per US dollar","0","Units",,,215.0667,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1981-05","May-1981","NATUSD","National currency per US dollar","0","Units",,,220.7789,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1981-06","Jun-1981","NATUSD","National currency per US dollar","0","Units",,,224.1357,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1981-07","Jul-1981","NATUSD","National currency per US dollar","0","Units",,,232.481,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1981-08","Aug-1981","NATUSD","National currency per US dollar","0","Units",,,233.6214,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1981-09","Sep-1981","NATUSD","National currency per US dollar","0","Units",,,229.8275,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1981-10","Oct-1981","NATUSD","National currency per US dollar","0","Units",,,231.4159,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1981-11","Nov-1981","NATUSD","National currency per US dollar","0","Units",,,223.7868,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1981-12","Dec-1981","NATUSD","National currency per US dollar","0","Units",,,219.0217,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1982-01","Jan-1982","NATUSD","National currency per US dollar","0","Units",,,224.6763,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1982-02","Feb-1982","NATUSD","National currency per US dollar","0","Units",,,235.3132,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1982-03","Mar-1982","NATUSD","National currency per US dollar","0","Units",,,240.6159,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1982-04","Apr-1982","NATUSD","National currency per US dollar","0","Units",,,244.2905,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1982-05","May-1982","NATUSD","National currency per US dollar","0","Units",,,236.9695,,
