"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MANM","Narrow Money (M1) Index, SA","JPN","Japan","M","Monthly","1980-01","Jan-1980","IDX","Index","0","Units","2015_100","2015=100",13.50037,,
"MANM","Narrow Money (M1) Index, SA","JPN","Japan","M","Monthly","1980-02","Feb-1980","IDX","Index","0","Units","2015_100","2015=100",13.59862,,
"MANM","Narrow Money (M1) Index, SA","JPN","Japan","M","Monthly","1980-03","Mar-1980","IDX","Index","0","Units","2015_100","2015=100",13.70319,,
"MANM","Narrow Money (M1) Index, SA","JPN","Japan","M","Monthly","1980-04","Apr-1980","IDX","Index","0","Units","2015_100","2015=100",14.0038,,
"MANM","Narrow Money (M1) Index, SA","JPN","Japan","M","Monthly","1980-05","May-1980","IDX","Index","0","Units","2015_100","2015=100",13.82674,,
"MANM","Narrow Money (M1) Index, SA","JPN","Japan","M","Monthly","1980-06","Jun-1980","IDX","Index","0","Units","2015_100","2015=100",13.51329,,
"MANM","Narrow Money (M1) Index, SA","JPN","Japan","M","Monthly","1980-07","Jul-1980","IDX","Index","0","Units","2015_100","2015=100",13.29275,,
"MANM","Narrow Money (M1) Index, SA","JPN","Japan","M","Monthly","1980-08","Aug-1980","IDX","Index","0","Units","2015_100","2015=100",13.2279,,
"MANM","Narrow Money (M1) Index, SA","JPN","Japan","M","Monthly","1980-09","Sep-1980","IDX","Index","0","Units","2015_100","2015=100",13.26107,,
"MANM","Narrow Money (M1) Index, SA","JPN","Japan","M","Monthly","1980-10","Oct-1980","IDX","Index","0","Units","2015_100","2015=100",13.23782,,
"MANM","Narrow Money (M1) Index, SA","JPN","Japan","M","Monthly","1980-11","Nov-1980","IDX","Index","0","Units","2015_100","2015=100",13.29913,,
