"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1980-01","Jan-1980","IDX","Index","0","Units","2015_100","2015=100",12.7686,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1980-02","Feb-1980","IDX","Index","0","Units","2015_100","2015=100",12.91091,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1980-03","Mar-1980","IDX","Index","0","Units","2015_100","2015=100",12.85465,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1980-04","Apr-1980","IDX","Index","0","Units","2015_100","2015=100",12.7024,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1980-05","May-1980","IDX","Index","0","Units","2015_100","2015=100",12.7355,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1980-06","Jun-1980","IDX","Index","0","Units","2015_100","2015=100",12.87782,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1980-07","Jul-1980","IDX","Index","0","Units","2015_100","2015=100",13.03999,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1980-08","Aug-1980","IDX","Index","0","Units","2015_100","2015=100",13.21209,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1980-09","Sep-1980","IDX","Index","0","Units","2015_100","2015=100",13.39743,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1980-10","Oct-1980","IDX","Index","0","Units","2015_100","2015=100",13.53644,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1980-11","Nov-1980","IDX","Index","0","Units","2015_100","2015=100",13.5927,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1980-12","Dec-1980","IDX","Index","0","Units","2015_100","2015=100",13.51989,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1981-01","Jan-1981","IDX","Index","0","Units","2015_100","2015=100",13.61256,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1981-02","Feb-1981","IDX","Index","0","Units","2015_100","2015=100",13.72839,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1981-03","Mar-1981","IDX","Index","0","Units","2015_100","2015=100",13.8674,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1981-04","Apr-1981","IDX","Index","0","Units","2015_100","2015=100",14.14541,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1981-05","May-1981","IDX","Index","0","Units","2015_100","2015=100",14.05605,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1981-06","Jun-1981","IDX","Index","0","Units","2015_100","2015=100",14.0726,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1981-07","Jul-1981","IDX","Index","0","Units","2015_100","2015=100",14.12886,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1981-08","Aug-1981","IDX","Index","0","Units","2015_100","2015=100",14.12886,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1981-09","Sep-1981","IDX","Index","0","Units","2015_100","2015=100",14.13217,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1981-10","Oct-1981","IDX","Index","0","Units","2015_100","2015=100",14.17851,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1981-11","Nov-1981","IDX","Index","0","Units","2015_100","2015=100",14.27449,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1981-12","Dec-1981","IDX","Index","0","Units","2015_100","2015=100",14.45321,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1982-01","Jan-1982","IDX","Index","0","Units","2015_100","2015=100",14.65178,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1982-02","Feb-1982","IDX","Index","0","Units","2015_100","2015=100",14.62531,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1982-03","Mar-1982","IDX","Index","0","Units","2015_100","2015=100",14.65178,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1982-04","Apr-1982","IDX","Index","0","Units","2015_100","2015=100",14.79741,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1982-05","May-1982","IDX","Index","0","Units","2015_100","2015=100",14.78417,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1982-06","Jun-1982","IDX","Index","0","Units","2015_100","2015=100",14.81065,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1982-07","Jul-1982","IDX","Index","0","Units","2015_100","2015=100",14.8272,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1982-08","Aug-1982","IDX","Index","0","Units","2015_100","2015=100",14.93972,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1982-09","Sep-1982","IDX","Index","0","Units","2015_100","2015=100",15.12175,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1982-10","Oct-1982","IDX","Index","0","Units","2015_100","2015=100",15.37329,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1982-11","Nov-1982","IDX","Index","0","Units","2015_100","2015=100",15.60496,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1982-12","Dec-1982","IDX","Index","0","Units","2015_100","2015=100",15.71418,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-01","Jan-1983","IDX","Index","0","Units","2015_100","2015=100",15.79361,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-02","Feb-1983","IDX","Index","0","Units","2015_100","2015=100",16.02859,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-03","Mar-1983","IDX","Index","0","Units","2015_100","2015=100",16.2371,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-04","Apr-1983","IDX","Index","0","Units","2015_100","2015=100",16.32315,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-05","May-1983","IDX","Index","0","Units","2015_100","2015=100",16.54821,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-06","Jun-1983","IDX","Index","0","Units","2015_100","2015=100",16.6806,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-07","Jul-1983","IDX","Index","0","Units","2015_100","2015=100",16.80636,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-08","Aug-1983","IDX","Index","0","Units","2015_100","2015=100",16.89572,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-09","Sep-1983","IDX","Index","0","Units","2015_100","2015=100",16.97184,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-10","Oct-1983","IDX","Index","0","Units","2015_100","2015=100",17.11747,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-11","Nov-1983","IDX","Index","0","Units","2015_100","2015=100",17.17704,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-12","Dec-1983","IDX","Index","0","Units","2015_100","2015=100",17.25647,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-01","Jan-1984","IDX","Index","0","Units","2015_100","2015=100",17.37893,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-02","Feb-1984","IDX","Index","0","Units","2015_100","2015=100",17.45836,,
