Series code,PR01'PRCG20_2200000000

Name of time-series,"[Producer Price Index] All commodities"
1980/01,102.9
1980/02,104.8
1980/03,106.4
1980/04,109.7
1980/05,110.6
1980/06,111
1980/07,111.4
1980/08,112
1980/09,112.2
1980/10,111.5
1980/11,111.4
1980/12,111.4
1981/01,111.1
1981/02,110.6
1981/03,110.4
1981/04,110.5
1981/05,110.9
1981/06,110.8
1981/07,111
1981/08,111.4
1981/09,111.7
1981/10,111.4
1981/11,111.6
1981/12,111.7
1982/01,111.5
1982/02,111.5
1982/03,111.5
1982/04,111.6
1982/05,111.4
1982/06,111.2
1982/07,111.4
1982/08,111.8
1982/09,112.2
1982/10,111.7
1982/11,111.8
1982/12,111.7
1983/01,111.5
1983/02,111.5
1983/03,111.4
1983/04,110.6
1983/05,110.8
1983/06,110.8
1983/07,111
1983/08,110.5
1983/09,110.7
1983/10,110.5
1983/11,110.6
1983/12,110.8
1984/01,110.8
1984/02,111
1984/03,111
1984/04,110.9
1984/05,111
1984/06,110.9
1984/07,111.1
1984/08,111.2
1984/09,111.3
1984/10,110.9
1984/11,110.9
1984/12,110.9
1985/01,111.5
1985/02,111.5
1985/03,111.2
1985/04,111
1985/05,110.5
1985/06,110.2
1985/07,110.2
1985/08,110
1985/09,109.7
1985/10,109
1985/11,108.6
1985/12,108.4
1986/01,108.2
1986/02,107.5
1986/03,107.2
1986/04,106.3
1986/05,106
1986/06,105.2
1986/07,104.8
1986/08,104.2
1986/09,103.5
1986/10,102.4
1986/11,102.2
1986/12,102.1
1987/01,101.6
1987/02,101.3
1987/03,101.4
1987/04,101.2
1987/05,101.1
1987/06,101.2
1987/07,101.6
1987/08,102
1987/09,102.3
1987/10,102.2
1987/11,102.2
1987/12,102.1
1988/01,101.4
1988/02,101.2
1988/03,101.2
1988/04,101
1988/05,100.9
1988/06,101
1988/07,101.2
1988/08,101.2
1988/09,101.4
1988/10,101.1
1988/11,101.1
1988/12,101.1
1989/01,101
1989/02,101.2
1989/03,101.3
1989/04,103.2
1989/05,103.4
1989/06,103.5
1989/07,103.9
1989/08,104
1989/09,104.1
1989/10,103.7
1989/11,103.6
1989/12,103.6
1990/01,104
1990/02,104
1990/03,104.1
1990/04,104.1
1990/05,104
1990/06,104.1
1990/07,104.4
1990/08,104.6
1990/09,105.1
1990/10,105.3
1990/11,105.6
1990/12,105.7
1991/01,105.8
1991/02,105.9
1991/03,105.9
1991/04,105.8
1991/05,105.8
1991/06,105.7
1991/07,105.7
1991/08,105.7
1991/09,105.6
1991/10,105.4
1991/11,105.4
1991/12,105.3
1992/01,105.2
1992/02,105.2
1992/03,105.1
1992/04,104.9
1992/05,104.8
1992/06,104.8
1992/07,104.9
1992/08,104.8
1992/09,104.8
1992/10,104.2
1992/11,104.1
1992/12,104.1
1993/01,104
1993/02,103.9
1993/03,103.7
1993/04,103.6
1993/05,103.4
1993/06,103.2
1993/07,103.2
1993/08,103
1993/09,102.7
1993/10,102.3
1993/11,102.1
1993/12,102
1994/01,101.9
1994/02,101.9
1994/03,101.6
1994/04,101.5
1994/05,101.4
1994/06,101.4
1994/07,101.4
1994/08,101.4
1994/09,101.4
1994/10,101
1994/11,100.9
1994/12,101
1995/01,101.2
1995/02,101.2
1995/03,101
1995/04,100.9
1995/05,100.7
1995/06,100.6
1995/07,100.6
1995/08,100.3
1995/09,100.3
1995/10,99.9
1995/11,99.9
1995/12,99.9
1996/01,99.6
1996/02,99.5
1996/03,99.3
1996/04,99.1
1996/05,98.9
1996/06,98.6
1996/07,98.8
1996/08,98.6
1996/09,98.5
1996/10,98.3
1996/11,98.4
1996/12,98.6
1997/01,98.4
1997/02,98.5
1997/03,98.5
1997/04,100.4
1997/05,100.3
1997/06,100.1
1997/07,100.2
1997/08,100
1997/09,99.9
1997/10,99.4
1997/11,99.3
1997/12,99.3
1998/01,99.1
1998/02,98.8
1998/03,98.4
1998/04,98.1
1998/05,98
1998/06,98
1998/07,98
1998/08,97.9
1998/09,97.9
1998/10,97.3
1998/11,97.1
1998/12,97.1
1999/01,96.8
1999/02,96.7
1999/03,96.6
1999/04,96.3
1999/05,96.4
1999/06,96.3
1999/07,96.7
1999/08,96.8
1999/09,96.8
1999/10,96.7
1999/11,96.7
1999/12,96.7
2000/01,97.2
2000/02,97.2
2000/03,97.1
2000/04,96.9
2000/05,96.7
2000/06,96.7
2000/07,96.8
2000/08,96.8
2000/09,96.6
2000/10,96
2000/11,95.8
2000/12,95.8
2001/01,95.4
2001/02,95.4
2001/03,95.2
2001/04,94.9
2001/05,94.7
2001/06,94.5
2001/07,94.4
2001/08,94.2
2001/09,94.1
2001/10,93.4
2001/11,93.3
2001/12,93.2
2002/01,92.9
2002/02,92.9
2002/03,92.9
2002/04,92.7
2002/05,92.7
2002/06,92.6
2002/07,92.5
2002/08,92.4
2002/09,92.2
2002/10,91.9
2002/11,92
2002/12,91.8
2003/01,91.8
2003/02,92
2003/03,92
2003/04,91.8
2003/05,91.5
2003/06,91.3
2003/07,91.6
2003/08,91.6
2003/09,91.6
2003/10,91.4
2003/11,91.5
2003/12,91.6
2004/01,91.8
2004/02,92
2004/03,92.2
