DATE,PPIACO_NBD20200201
1980-01-01,43.31469
1980-02-01,44.17895
1980-03-01,44.48399
1980-04-01,44.63650
1980-05-01,44.89070
1980-06-01,45.09405
1980-07-01,45.90747
1980-08-01,46.51754
1980-09-01,46.61922
1980-10-01,47.17844
1980-11-01,47.38180
1980-12-01,47.68683
1981-01-01,48.39858
1981-02-01,48.85613
1981-03-01,49.31368
1981-04-01,49.82206
1981-05-01,49.97458
1981-06-01,50.07626
1981-07-01,50.33045
1981-08-01,50.33045
1981-09-01,50.22877
1981-10-01,50.27961
1981-11-01,50.22877
1981-12-01,50.22877
1982-01-01,50.68632
1982-02-01,50.73716
1982-03-01,50.63549
1982-04-01,50.63549
1982-05-01,50.73716
1982-06-01,50.83884
1982-07-01,51.04220
1982-08-01,50.99136
1982-09-01,50.83884
1982-10-01,50.94052
1982-11-01,50.99136
1982-12-01,51.09304
1983-01-01,50.94052
1983-02-01,51.09304
1983-03-01,51.04220
1983-04-01,51.04220
1983-05-01,51.24555
1983-06-01,51.34723
1983-07-01,51.49975
1983-08-01,51.75394
1983-09-01,51.85562
1983-10-01,51.95730
1983-11-01,51.90646
1983-12-01,52.00813
1984-01-01,52.31317
1984-02-01,52.46568
1984-03-01,52.82156
1984-04-01,52.87239
1984-05-01,52.92323
1984-06-01,52.87239
1984-07-01,52.97407
1984-08-01,52.77072
1984-09-01,52.56736
1984-10-01,52.56736
1984-11-01,52.71988
1984-12-01,52.61820
1985-01-01,52.56736
1985-02-01,52.51652
1985-03-01,52.41484
1985-04-01,52.51652
1985-05-01,52.61820
1985-06-01,52.51652
1985-07-01,52.46568
1985-08-01,52.21149
1985-09-01,51.90646
1985-10-01,52.31317
1985-11-01,52.56736
1985-12-01,52.66904
1986-01-01,52.46568
1986-02-01,51.70310
1986-03-01,50.99136
1986-04-01,50.63549
1986-05-01,50.83884
1986-06-01,50.78800
1986-07-01,50.53381
1986-08-01,50.48297
1986-09-01,50.53381
1986-10-01,50.68632
1986-11-01,50.73716
1986-12-01,50.68632
1987-01-01,51.09304
1987-02-01,51.34723
1987-03-01,51.44891
1987-04-01,51.80478
1987-05-01,52.16065
1987-06-01,52.36401
1987-07-01,52.61820
1987-08-01,52.77072
1987-09-01,52.71988
1987-10-01,52.92323
1987-11-01,52.97407
1987-12-01,52.97407
1988-01-01,53.17743
1988-02-01,53.27911
1988-03-01,53.32994
1988-04-01,53.78749
1988-05-01,54.14337
1988-06-01,54.49924
1988-07-01,54.85511
1988-08-01,54.90595
1988-09-01,54.95679
1988-10-01,55.00763
1988-11-01,55.05846
1988-12-01,55.41434
1989-01-01,56.17692
1989-02-01,56.32944
1989-03-01,56.68531
1989-04-01,57.09202
1989-05-01,57.54957
1989-06-01,57.39705
1989-07-01,57.34621
1989-08-01,56.93950
1989-09-01,57.14286
1989-10-01,57.34621
1989-11-01,57.29537
1989-12-01,57.44789
1990-01-01,58.41383
1990-02-01,58.15963
1990-03-01,58.05796
1990-04-01,58.00712
1990-05-01,58.26131
1990-06-01,58.10880
1990-07-01,58.21047
1990-08-01,59.22725
1990-09-01,60.19319
1990-10-01,61.41332
1990-11-01,61.05745
1990-12-01,60.34570
1991-01-01,60.49822
1991-02-01,59.58312
1991-03-01,59.07473
1991-04-01,58.97306
1991-05-01,59.22725
1991-06-01,59.17641
1991-07-01,59.02389
1991-08-01,59.07473
1991-09-01,59.02389
1991-10-01,59.17641
1991-11-01,59.17641
1991-12-01,58.92222
1992-01-01,58.76970
1992-02-01,58.97306
1992-03-01,59.02389
1992-04-01,59.12557
1992-05-01,59.58312
1992-06-01,59.98983
1992-07-01,59.93899
1992-08-01,59.83732
1992-09-01,59.98983
1992-10-01,60.04067
1992-11-01,59.88815
1992-12-01,59.78648
1993-01-01,59.98983
1993-02-01,60.19319
1993-03-01,60.34570
1993-04-01,60.65074
1993-05-01,60.85409
1993-06-01,60.75241
1993-07-01,60.59990
1993-08-01,60.34570
1993-09-01,60.34570
1993-10-01,60.54906
1993-11-01,60.49822
1993-12-01,60.29487
1994-01-01,60.54906
1994-02-01,60.65074
1994-03-01,60.85409
1994-04-01,60.85409
1994-05-01,60.95577
1994-06-01,61.26080
1994-07-01,61.36248
1994-08-01,61.61668
1994-09-01,61.51500
1994-10-01,61.46416
1994-11-01,61.76919
1994-12-01,61.97255
1995-01-01,62.48094
1995-02-01,62.78597
1995-03-01,62.98932
1995-04-01,63.34520
1995-05-01,63.49771
1995-06-01,63.70107
1995-07-01,63.70107
1995-08-01,63.59939
1995-09-01,63.65023
1995-10-01,63.70107
1995-11-01,63.75191
1995-12-01,63.90442
1996-01-01,64.20946
1996-02-01,64.15862
1996-03-01,64.26029
1996-04-01,64.76868
1996-05-01,65.12456
1996-06-01,65.07372
1996-07-01,65.07372
1996-08-01,65.22623
1996-09-01,65.17539
1996-10-01,65.07372
1996-11-01,65.17539
1996-12-01,65.63294
1997-01-01,65.93798
1997-02-01,65.32791
1997-03-01,64.71784
1997-04-01,64.56533
1997-05-01,64.76868
1997-06-01,64.66701
1997-07-01,64.51449
1997-08-01,64.66701
1997-09-01,64.81952
1997-10-01,64.97204
1997-11-01,65.02288
1997-12-01,64.46365
1998-01-01,63.75191
1998-02-01,63.54855
1998-03-01,63.39603
1998-04-01,63.49771
1998-05-01,63.59939
1998-06-01,63.44687
1998-07-01,63.49771
1998-08-01,63.14184
1998-09-01,62.93849
1998-10-01,63.04016
1998-11-01,62.83681
1998-12-01,62.43010
1999-01-01,62.48094
1999-02-01,62.17590
1999-03-01,62.32842
1999-04-01,62.83681
1999-05-01,63.39603
1999-06-01,63.65023
1999-07-01,63.90442
1999-08-01,64.51449
1999-09-01,65.07372
1999-10-01,64.92120
